[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period0 ] ] [__fact_historical_period_description [__arg1 historical_period0 ] [__arg2 historical_period0_historical_period_description ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] [__optional_type [__arg1 entity0 ] [__arg2 prochous ] ] ]	[text] unlike the coins you recently saw , which are located in museum0 , now this prochous is exhibited in museum1 . it was created during historical-period0 , which begin-historical-period0-historical-period-description-end . this prochous depicts begin-entity0-exhibit-depicts-end . [/text]
[__content_plan [__rst_elaboration [__fact_type compare_additive [__arg1 entity0 ] [__arg2 statue ] ] [__rst_joint [__fact_creation_time [__arg1 entity0 ] [__arg2 entity0_creation_time ] ] [__fact_sculpted_by [__arg1 entity0 ] [__arg2 sculptor0 ] ] ] ] [__rst_contrast [__fact_creation_period [__arg1 entityplural ] [__arg2 historical_period0 ] ] [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period1 ] ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] ]	[text] this is another statue ; it was created in begin-entity0-creation-time-end and it was sculpted by sculptor0 . unlike the vessels you recently saw , which were created during historical-period0 , this statue was created during historical-period1 . [/text]
[__content_plan [__rst_contrast [__fact_original_location [__arg1 entityplural ] [__arg2 region0 ] ] [__fact_original_location [__arg1 entity0 ] [__arg2 region1 ] ] ] [__fact_exhibit_story [__arg1 entity0 ] [__arg2 entity0_exhibit_story ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum0 ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entity0 ] [__arg2 tetradrachm ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] ]	[text] unlike the vessels you recently saw , which were originally from region0 , this tetradrachm originates from region1 . begin-entity0-exhibit-story-end . now this tetradrachm is exhibited in museum0 . it depicts begin-entity0-exhibit-depicts-end . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period0 ] ] [__fact_historical_period_time [__arg1 historical_period0 ] [__arg2 historical_period0_historical_period_time ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] [__optional_type [__arg1 entity0 ] [__arg2 prochous ] ] ]	[text] unlike the coins you recently saw , which are located in museum0 , now this prochous is exhibited in museum1 . it was created during historical-period0 , which ranged between begin-historical-period0-historical-period-time-end . it depicts begin-entity0-exhibit-depicts-end . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period0 ] ] [__fact_historical_period_description [__arg1 historical_period0 ] [__arg2 historical_period0_historical_period_description ] ] ] [__fact_exhibit_purpose [__arg1 entity0 ] [__arg2 entity0_exhibit_purpose ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] unlike the coins you recently saw , which are currently in museum0 , now this relief is exhibited in museum1 . it was created during historical-period0 , which begin-historical-period0-historical-period-description-end . this relief begin-entity0-exhibit-purpose-end . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__rst_elaboration [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period0 ] ] [__fact_historical_period_description [__arg1 historical_period0 ] [__arg2 historical_period0_historical_period_description ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] unlike the coins you recently saw , which are currently in museum0 , now this relief is exhibited in museum1 . it was created during historical-period0 , which begin-historical-period0-historical-period-description-end . this relief shows begin-entity0-exhibit-depicts-end . [/text]
[__content_plan [__rst_elaboration [__fact_type [__arg1 entity0 ] [__arg2 statue ] ] [__rst_joint [__fact_made_of [__arg1 entity0 ] [__arg2 bronze_material0 ] ] [__fact_exhibit_portrays [__arg1 entity0 ] [__arg2 god0 ] ] ] ] [__rst_contrast [__fact_creation_period compare_additive [__arg1 entityplural ] [__arg2 historical_period0 ] ] [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period1 ] ] ] [__optional_type [__arg1 entityplural ] [__arg2 exhibit ] ] ]	[text] this is a statue ; it is made of bronze-material0 and it portrays god0 . unlike the other exhibits you recently saw , which were created during historical-period0 , this statue was created during historical-period1 . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__fact_exhibit_purpose [__arg1 entity0 ] [__arg2 entity0_exhibit_purpose ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] unlike the coins you recently saw , which are currently in museum0 , this relief is located in museum1 . it begin-entity0-exhibit-purpose-end . [/text]
[__content_plan [__rst_contrast [__fact_original_location [__arg1 entityplural ] [__arg2 region0 ] ] [__fact_original_location [__arg1 entity0 ] [__arg2 region1 ] ] ] [__fact_exhibit_story [__arg1 entity0 ] [__arg2 entity0_exhibit_story ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum0 ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] [__optional_type [__arg1 entity0 ] [__arg2 tetradrachm ] ] ]	[text] unlike the vessels you recently saw , which were originally from region0 , this tetradrachm originates from region1 . begin-entity0-exhibit-story-end . now this tetradrachm is exhibited in museum0 . it shows begin-entity0-exhibit-depicts-end . [/text]
[__content_plan [__fact_original_location [__arg1 entity0 ] [__arg2 city0 ] ] [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__fact_exhibit_story [__arg1 entity0 ] [__arg2 entity0_exhibit_story ] ] [__optional_type [__arg1 entity0 ] [__arg2 figurine ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] this figurine originates from city0 . unlike the coins you recently saw , which are currently in museum0 , now this figurine is exhibited in museum1 . it depicts begin-entity0-exhibit-depicts-end . begin-entity0-exhibit-story-end . [/text]
[__content_plan [__rst_elaboration [__fact_type [__arg1 entity0 ] [__arg2 marriage_cauldron ] ] [__rst_joint [__fact_creation_time [__arg1 entity0 ] [__arg2 entity0_creation_time ] ] [__fact_painting_technique_used [__arg1 entity0 ] [__arg2 painting_technique0 ] ] ] ] [__rst_contrast [__fact_creation_period compare_additive [__arg1 entityplural ] [__arg2 historical_period0 ] ] [__fact_creation_period [__arg1 entity0 ] [__arg2 historical_period1 ] ] ] [__optional_type [__arg1 entityplural ] [__arg2 vessel ] ] ]	[text] this is a marriage cauldron ; it was created in begin-entity0-creation-time-end and it was decorated with painting-technique0 . unlike the other vessels you recently saw , which were created during historical-period0 , this marriage cauldron was created during historical-period1 . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] [__optional_type [__arg1 entity0 ] [__arg2 prochous ] ] ]	[text] unlike the coins you recently saw , which are currently in museum0 , now this prochous is exhibited in museum1 . it shows begin-entity0-exhibit-depicts-end . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__fact_exhibit_purpose [__arg1 entity0 ] [__arg2 entity0_exhibit_purpose ] ] [__optional_type [__arg1 entity0 ] [__arg2 relief ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] ]	[text] unlike the coins you recently saw , which are currently in museum0 , this relief is currently in museum1 . it begin-entity0-exhibit-purpose-end . [/text]
[__content_plan [__rst_contrast [__fact_current_location [__arg1 entityplural ] [__arg2 museum0 ] ] [__fact_current_location [__arg1 entity0 ] [__arg2 museum1 ] ] ] [__fact_exhibit_depicts [__arg1 entity0 ] [__arg2 entity0_exhibit_depicts ] ] [__optional_type [__arg1 entityplural ] [__arg2 coin ] ] [__optional_type [__arg1 entity0 ] [__arg2 prochous ] ] ]	[text] unlike the coins you recently saw , which are currently in museum0 , this prochous is located in museum1 . it shows begin-entity0-exhibit-depicts-end . [/text]
